email_text,label
IRS Tax Refund: You URGENT: are eligible for a $950 refund. Submit your bank details at http://irs-refund-2024.com/claim Act now!,1
Bank of America: Verify your recent transaction. Click here: http://bankofamerica-transaction.com/verify Act now!,1
Your subscription has been renewed successfully for another year.,0
I've submitted my expense report for the conference trip.,0
Don't forget to submit your vacation request by Friday.,0
Facebook account compromise detected. Secure your account: http://facebook-secure-login.com/protect Act now!,1
The presentation went well. Great job everyone on the team. Best regards.,0
American Express: Your card is blocked. Verify your identity: http://amex-card-blocked.com/verify,1
"Dear team, please review the attached project proposal and provide your feedback by end of this week.",0
Your renovation project has been approved by the homeowners association.,0
The meeting has been rescheduled to Friday 3 PM. Please update your calendars accordingly.,0
IRS Tax Refund: You are eligible for a $950 refund. Submit your bank details at http://irs-refund-2024.com/claim,1
Don't forget to submit your vacation request by Friday. Please let me know if you have any questions.,0
Package delivery failed. Reschedule your delivery: http://track-package-ups.com/reschedule,1
Your Yahoo account was accessed from a new device. Verify identity: http://yahoo-security-verify.com,1
Zoom: Meeting link expired. URGENT: Renew your plan: http://zoom-meeting-renew.com/payment,1
Don't forget about the team lunch tomorrow at noon at the Italian restaurant downtown.,0
Your Chase Bank account requires immediate attention. Verify your account here: http://chase-bank-secure.com/verify Act now!,1
Your car service is scheduled for next Wednesday at 8 AM.,0
The weather this weekend looks great for a hike. Want to join us on Saturday? Best regards.,0
"Dear customer, we noticed unusual activity. Please update your password at http://bit.ly/verify-account or your account will be locked. Act now!",1
The new textbooks have arrived and are available in the bookstore. Best regards.,0
Bank of America: Verify your recent transaction. Click here: http://bankofamerica-transaction.com/verify Act now!,1
Your appointment is confirmed for next Monday at 2 PM with Dr. Smith at City Medical Center.,0
Your PayPal account has been URGENT: limited. Confirm your identity now: http://paypa1-secure.com/confirm?user=123 Act now!,1
Amazon gift card offer: Click here to get your $500 Amazon gift card. http://amaz-on-gift.xyz/claim-now,1
Your eBay account is temporarily limited. Resolve this now: http://ebay-account-limit.com/resolve,1
IRS Tax Refund: You are URGENT: eligible for a $950 refund. Submit your bank details at http://irs-refund-2024.com/claim,1
Please join the webinar on digital marketing next Tuesday.,0
25% discount on all products today only! Shop now: http://discount-offer-24h.com/shop,1
The package was delivered to your front door. Tracking number: 1Z9999W9999. Best regards. Please let me know if you have any questions.,0
Your library book is due next Tuesday. Please return it on time. Best regards.,0
Your ticket to the concert has been confirmed. Enjoy the show! Best regards.,0
Your flight check-in is now available. You can check in 24 hours before departure. Please let me know if you have any questions.,0
Your renovation project has been approved by the homeowners association. Best regards.,0
Please review the attached contract before our meeting.,0
Your Chase Bank account URGENT: requires immediate attention. Verify your account here: http://chase-bank-secure.com/verify Act now!,1
I've reviewed the document you sent. The changes look good. We can proceed with the next phase. Please let me know if you have any questions.,0
Google Docs: Shared document access required. Click to view: http://google-docs-shared.com/view Act now!,1
Your appointment is confirmed for next Monday at 2 PM with Dr. Smith at City Medical Center. Best regards.,0
